id,artist_lastfm,listeners_lastfm,scrobbles_lastfm
398,Klaxons,,
399,Groove Armada,,
400,The Roots,,
401,Creed,,
402,Sean Paul,,
403,Duffy,,
404,Billy Talent,,
405,Trey Songz,,
406,Sara Bareilles,,
407,Grizzly Bear,,
408,Céline Dion,,
409,Matchbox Twenty,,
410,Dave Matthews Band,,
411,Faithless,,
412,Alice Cooper,,
413,P.O.D.,,
414,Slayer,,
415,N*E*R*D,,
416,Fiona Apple,,
417,Beirut,,
418,Gotye,,
419,Yann Tiersen,,
420,Nightwish,,
421,Lostprophets,,
422,Judas Priest,,
423,Busta Rhymes,,
424,Kings of Convenience,,
425,Cold War Kids,,
426,Pendulum,,
427,Rod Stewart,,
428,Drowning Pool,,
429,The Knife,,
430,La Roux,,
431,Common,,
432,The Libertines,,
433,The Animals,,
434,Paul Simon,,
435,Ben Harper,,
436,Tegan and Sara,,
437,Boards of Canada,,
438,A Tribe Called Quest,,
439,Wilco,,
440,Enya,,
441,Cat Stevens,,
442,Empire of the Sun,,
443,Genesis,,
444,AFI,,
445,Mary J. Blige,,
446,Mogwai,,
447,KT Tunstall,,
448,Foreigner,,
449,Al Green,,
450,Animal Collective,,
451,George Harrison,,
452,DJ Shadow,,
453,Demi Lovato,,
454,Nick Cave & The Bad Seeds,,
455,Tori Amos,,
456,Boston,,
457,Janet Jackson,,
458,Kelis,,
459,Morcheeba,,
460,Neutral Milk Hotel,,
461,Hall & Oates,,
462,The Weeknd,,
463,Dean Martin,,
464,LMFAO,,
465,Gucci Mane,,
466,Rob Zombie,,
467,OK Go,,
468,The Raconteurs,,
469,The Temptations,,
470,Sade,,
471,Sheryl Crow,,
472,Taking Back Sunday,,
473,Lorde,,
474,Robyn,,
475,Pharrell Williams,,
476,Billy Idol,,
477,Black Rebel Motorcycle Club,,
478,Faith No More,,
479,fun.,,
480,The Used,,
481,Of Monsters and Men,,
482,The Temper Trap,,
483,Frédéric Chopin,,
484,Fort Minor,,
485,Peter Bjorn and John,,
486,Spice Girls,,
487,We Are Scientists,,
488,Sean Kingston,,
489,Scissor Sisters,,
490,Major Lazer,,
491,Brand New,,
492,All Time Low,,
493,Wham!,,
494,Kate Nash,,
495,Marina & the Diamonds,,
496,Morrissey,,
497,Cage the Elephant,,
498,Pet Shop Boys,,
499,Gym Class Heroes,,
500,Bill Withers,,
501,Fugees,,
502,Apocalyptica,,
503,Missy Elliott,,
504,Supertramp,,
505,Skillet,,
506,D12,,
507,Dashboard Confessional,,
508,Smash Mouth,,
509,Bush,,
510,Andrew Bird,,
511,Beach House,,
512,A Day to Remember,,
513,Killswitch Engage,,
514,Frank Ocean,,
515,John Williams,,
523,Mark Ronson,,
524,Ryan Adams,,
525,Explosions in the Sky,,
526,"Earth, Wind & Fire",,
527,Keri Hilson,,
528,Natalie Imbruglia,,
